Данные из телефонного справочника в фаиле Phonebook.csv!

№,Фамилия,Имя,Номер телефона,Описание
1,Галкин,Максим,2476465,волосатый
2,Пупкин,Василий,5667876,женат
3,Петрова,Наталья,546873543,замужем
4,Галкин,Сергей,57675454,не артист
5,Галкина,Маргарита,5768765,жена не артиста6,Прокопенко,Игорь,982579258,двуличный


Данные из телефонного справочника в фаиле Phonebook.txt!


№ 1
Фамилия:Григорович
Имя: Марк
Номер телефона: 322352465
Описание: спортсмен

№ 2
Фамилия: Попов
Имя: Игорь
Номер телефона: 2347876
Описание: женат

№ 3
Фамилия: Тонкина
Имя: Виолетта
Номер телефона: 12363543
Описание: замужем

№ 4
Фамилия: Тришанов
Имя: Павел
Номер телефона: 29736454
Описание: Лентяй

№ 5
Фамилия: Григорьева
Имя: Наталья
Номер телефона: 49009
Описание: замужем

№ 6
Фамилия: Прокопенко
Имя: Игорь
Номер телефона: 982579258
Описание: двуличный


